index,reward,V_reward,attitude_penalty,wm_penalty,beta_penalty,action_sum_penalty,action_penalty,steps
181,-802.9639583990405,-947.7889579848937,-42.89912499906767,-755.6761909508596,-86.53881032247325,-214.26165534795314,-492.1294210512402,2000
182,-710.5932807988598,-826.8944888663822,-23.09609858499558,-696.5454405099459,-186.9284353916803,-158.37165359722937,-439.4881700543204,2000
183,-1078.0209618210836,-734.7762559684985,-34.874741368651954,-758.1007549602987,-186.98797764028492,-159.0202078258062,-449.6842795728469,2000
184,-4130.653146191256,-1748.945481019682,-286.80253458062634,-1206.1133697478808,-303.6149924365959,-160.57837429414818,-552.4372389190122,2000
185,-895.8218948862774,-612.028153911136,-92.44037727454673,-738.6018539272433,-52.31198385969429,-154.64379316565547,-428.3465651176932,2000
186,-335.1785697463664,-613.0995706872609,-23.1740991291464,-692.4110879225555,-85.17605844469493,-260.0688317441948,-345.57672367380115,2000
187,-995.3180444170172,-650.983066155683,-34.17746207304708,-814.3814366673738,-358.5832962029548,-211.2662447062556,-451.28842192631566,2000
188,-1508.2546771984382,-621.766598834188,-85.17477369488654,-778.8289088691738,-299.5260442169951,-168.31633666378045,-466.79104639376084,2000
189,-697.4488148546365,-645.9599632586629,-44.7901188208253,-808.097997129199,-87.30242900290123,-194.30211984302625,-367.4353029890912,2000
190,-1230.8624883306263,-1077.8352246550912,-22.74570559376172,-715.7805067538111,-64.27454280849858,-155.78356306232217,-530.4158238481333,2000
191,-726.5047044294279,-831.2803319086753,-48.522963048542,-618.6405190401478,-86.09061474692878,-212.38370458304072,-477.5275446451388,2000
192,-752.6529874067114,-628.3759259392828,-53.2157783425635,-661.2831126433142,-86.78986948624406,-274.2315313643178,-438.2377503031149,2000
193,-1956.782201581265,-733.73800711649,-98.97095382658178,-930.5279723637038,-545.0518545696879,-174.3730661823975,-497.0274258865102,2000
194,-410.67320229762805,-582.1846083559726,-57.37129256006014,-662.5426430998964,-188.2236936227035,-258.927462397761,-421.14136671163,2000
195,-1049.394580144685,-670.8147795948738,-24.1352865840433,-757.051516881856,-389.7786110695468,-100.78523257568374,-469.3612325056052,2000
196,-1579.1687299119956,-1072.261067497227,-32.78847133185193,-855.0449600092012,-409.98888523773564,-120.46889583241166,-523.0215538651878,2000
197,-1141.5416213054034,-914.2214812818743,-35.73382391134123,-733.2703443176117,-160.07794605109163,-232.56921296289784,-420.5086596724841,2000
198,89.3270335932413,-480.2173428573099,-55.4060903690729,-716.1142616468184,-203.12458689411926,-292.8964760506124,-428.4887505560023,2000
